wall_time,t,ciclo,sender,receiver,performative,bytes,delay_s,dropped
1788504460.738770,,ciclo3_AM_AC_AD,dso,market,propose,1358,21.447523,0
1788504460.959294,,,market,concentrator_alimentador_650,reject-proposal,1472,22.749431,0
1788504460.959926,,,market,dso,reject-proposal,1424,25.872576,0
1788504461.013832,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,1.303518,0
1788504461.016206,,ciclo3_AM_AC_AD,market,dso,cfp,100,1.924664,0
1788504461.235384,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1276,20.305929,0
1788504461.345109,,ciclo3_AM_AC_AD,dso,market,propose,1349,22.937585,0
1788504461.578663,,,market,concentrator_alimentador_650,reject-proposal,1200,19.553612,0
1788504461.579150,,,market,dso,reject-proposal,1428,23.950908,0
1788504461.634013,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,0.205612,0
1788504461.637301,,ciclo3_AM_AC_AD,market,dso,cfp,100,1.980770,0
1788504461.834764,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1361,23.727617,0
1788504461.958710,,ciclo3_AM_AC_AD,dso,market,propose,1268,21.604785,0
1788504462.181638,,,market,concentrator_alimentador_650,reject-proposal,1141,18.726899,0
1788504462.183153,,,market,dso,reject-proposal,1267,20.563289,0
1788504462.238006,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,2.470622,0
1788504462.240409,,ciclo3_AM_AC_AD,market,dso,cfp,100,3.421504,0
1788504462.472452,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1415,25.493132,0
1788504462.589319,,ciclo3_AM_AC_AD,dso,market,propose,1120,20.163299,0
1788504462.795671,,,market,concentrator_alimentador_650,reject-proposal,1434,24.486233,0
1788504462.796594,,,market,dso,reject-proposal,1110,18.895317,0
1788504462.851710,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,2.040154,0
1788504462.854715,,ciclo3_AM_AC_AD,market,dso,cfp,100,1.116749,0
1788504463.101029,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1458,25.566291,0
1788504463.170002,,ciclo3_AM_AC_AD,dso,market,propose,1347,21.021873,0
1788504463.386571,,,market,concentrator_alimentador_650,reject-proposal,1301,22.203139,0
1788504463.387758,,,market,dso,reject-proposal,1422,23.247930,0
1788504463.443400,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,0.716315,0
1788504463.446428,,ciclo3_AM_AC_AD,market,dso,cfp,100,2.705735,0
1788504463.619363,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1486,25.005199,0
1788504463.737136,,ciclo3_AM_AC_AD,dso,market,propose,1214,21.737376,0
