wall_time,t,ciclo,sender,receiver,performative,bytes,delay_s,dropped
1789091372.842829,79,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer5,cfp,100,3.840533,0
1789091372.843352,79,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer6,cfp,100,0.709736,0
1789091372.843510,79,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer7,cfp,100,2.938992,0
1789091372.843871,79,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer8,cfp,100,3.188877,0
1789091372.844085,79,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer9,cfp,100,3.033914,0
1789091372.844199,79,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer10,cfp,100,3.258818,0
1789091372.844307,79,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer11,cfp,100,1.247427,0
1789091372.845231,79,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer12,cfp,100,1.737336,0
1789091372.845590,79,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer13,cfp,100,2.305827,0
1789091372.845787,79,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer14,cfp,100,1.148749,0
1789091372.845920,79,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer15,cfp,100,3.485123,0
1789091372.846043,79,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer16,cfp,100,2.186498,0
1789091372.846164,79,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer17,cfp,100,0.707812,0
1789091372.846272,79,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer18,cfp,100,1.521361,0
1789091372.846380,79,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer19,cfp,100,2.662804,0
1789091372.846492,79,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer20,cfp,100,2.567663,0
1789091372.853646,79,ciclo1_AC_AP,prosumer6,concentrator_trafo_1_3,propose,215,5.111238,0
1789091372.856210,79,ciclo1_AC_AP,prosumer17,concentrator_trafo_2_12,propose,183,5.667217,0
1789091372.857895,79,ciclo1_AC_AP,prosumer3,concentrator_trafo_1_3,propose,315,5.075500,0
1789091372.860371,79,ciclo1_AC_AP,prosumer11,concentrator_trafo_1_3,propose,337,6.700065,0
1789091372.861457,79,ciclo1_AC_AP,prosumer14,concentrator_trafo_2_12,propose,286,7.746397,0
1789091372.864339,79,ciclo1_AC_AP,prosumer4,concentrator_trafo_1_3,propose,389,6.461610,0
1789091372.865872,79,ciclo1_AC_AP,prosumer18,concentrator_trafo_2_12,propose,170,3.288761,0
1789091372.867749,79,ciclo1_AC_AP,prosumer12,concentrator_trafo_2_12,propose,297,6.644783,0
1789091372.869663,79,ciclo1_AC_AP,prosumer16,concentrator_trafo_2_12,propose,389,6.165178,0
1789091372.871245,79,ciclo1_AC_AP,prosumer13,concentrator_trafo_2_12,propose,494,7.768174,0
1789091372.875242,79,ciclo1_AC_AP,prosumer20,concentrator_trafo_2_12,propose,106,7.410105,0
1789091372.877250,79,ciclo1_AC_AP,prosumer7,concentrator_trafo_1_3,propose,183,3.939270,0
1789091372.878819,79,ciclo1_AC_AP,prosumer19,concentrator_trafo_2_12,propose,398,6.612083,0
1789091372.881441,79,ciclo1_AC_AP,prosumer9,concentrator_trafo_1_3,propose,102,0.189396,0
1789091372.883130,79,ciclo1_AC_AP,prosumer8,concentrator_trafo_1_3,propose,451,13.755415,0
1789091372.884838,79,ciclo1_AC_AP,prosumer10,concentrator_trafo_1_3,propose,299,7.700443,0
1789091372.886881,79,ciclo1_AC_AP,prosumer15,concentrator_trafo_2_12,propose,467,17.687806,0
1789091372.888278,79,ciclo1_AC_AP,prosumer5,concentrator_trafo_1_3,propose,188,3.673268,0
1789091373.067780,79,ciclo2_AD_AC,dso,concentrator_trafo_1_3,cfp,100,0.342671,0
1789091373.068231,79,ciclo2_AD_AC,dso,concentrator_trafo_2_12,cfp,100,5.178214,0
1789091373.074627,79,ciclo2_AD_AC,concentrator_trafo_1_3,dso,propose,1076,36.475733,0
1789091373.126001,79,ciclo2_AD_AC,concentrator_trafo_2_12,dso,propose,1009,34.786986,0
1789091373.480678,79,ciclo3_AM_AC_AD,market,dso,cfp,100,0.281340,0
